Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version,Wind_Height_m
NSRDB,145809,-,-,-,39.73,-105.18,-7,1820,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6,2
Year,Month,Day,Hour,Minute,DNI,DHI,GHI,Temperature,Dew Point,Wind Speed,Relative Humidity,poa_global,temp_cell,temp_module,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,1,1,0,30,0,0,0,0,-5,1.8,79.39,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,1,1,1,30,0,0,0,0,-4,1.7000000000000002,80.84,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,1,1,2,30,0,0,0,0,-4,1.5,82.98,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,1,1,3,30,0,0,0,0,-4,1.3,85.01,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,1,1,4,30,0,0,0,0,-4,1.3,85.81,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,1,1,5,30,0,0,0,0,-3,1.4,86.55,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,1,1,6,30,0,0,0,0,-3,1.8,87.12,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,1,1,7,30,0,0,0,0,-3,3,80.24,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,1,1,8,30,65,65,76,1,-3,4.7,76.86,88.57421760340651,3.0363622179536947,2.770639565143475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,1,1,9,30,503,93,246,2,-2,6.3000000000000025,80.37,366.8401473886178,9.604577776636619,8.504057334470765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,1,1,10,30,617,109,355,3,-2,7,74.87,517.3323779651838,13.255151801062475,11.703154667166922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,1,1,11,30,497,161,385,4,-3,6.8000000000000025,70.73,519.5257888588671,14.43072110257699,12.872143736000389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,1,1,12,30,0,128,128,4,-4,6.5,61.8,125.1052457977236,6.560402092226029,6.185086354832858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,1,1,13,30,0,99,99,3,-5,6,62.93,96.76108854667686,5.044890327800028,4.754607062159997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,1,1,14,30,0,24,24,2,-5,5.1000000000000005,64.64,23.457233587073173,2.525433938046781,2.4550622372855617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,1,1,15,30,0,63,63,0,-6,3.6,67.87,61.57523816606709,1.5215004673998995,1.3367747529016982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,1,1,16,30,0,8,8,-1,-6,2.6,80.7,7.819077862357725,-0.793572821,-0.817030055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,1,1,17,30,0,0,0,-2,-7,2.4000000000000004,81.99,0,-2,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,1,1,18,30,0,0,0,-3,-8,2,78.79,0,-3,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,1,1,19,30,0,0,0,-4,-8,1.8,81.85000000000002,0,-4,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,1,1,20,30,0,0,0,-4,-9,1.6,84.68,0,-4,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
